schoolname,SIGUN_CD,schoolAdd,region,GRD1,GRD2,GRD3,SumStu,city,district,town
평택여자고등학교,41220,경기도 평택시 세교동 1-2번지 평택여자종합고등학교,경기도 평택시,359,323,350,1032,평택시,None,세교동
포천고등학교,41650,경기도 포천시 신읍동 345번지 포천고등학교,경기도 포천시,247,233,246,726,포천시,None,신읍동
포천일고등학교,41650,경기도 포천시 군내면 하성북리 663번지 포천일고등학교,경기도 포천시,147,184,247,578,포천시,None,군내면
풍덕고등학교,41460,경기도 용인시 수지구 풍덕천동 1121번지 풍덕고등학교,경기도 용인시 수지구,465,422,476,1363,용인시,수지구,풍덕천동
풍생고등학교,41130,경기도 성남시 수정구 수진동 4511-1번지 풍생고등학교,경기도 성남시 수정구,240,219,271,730,성남시,수정구,수진동
하남고등학교,41450,경기도 하남시 망월동 778-1번지,경기도 하남시,279,250,257,786,하남시,None,망월동
하남경영고등학교,41450,경기도 하남시 창우동 521-2번지 하남경영고등학교,경기도 하남시,191,240,263,694,하남시,None,창우동
하성고등학교,41570,경기도 김포시 하성면 마곡리 640-1번지 하성고등학교,경기도 김포시,96,84,87,267,김포시,None,하성면
한광고등학교,41220,경기도 평택시 비전동 504번지 한광고등학교,경기도 평택시,309,278,303,890,평택시,None,비전동
한광여자고등학교,41220,경기도 평택시 비전동 504번지 한광여자고등학교,경기도 평택시,336,306,293,935,평택시,None,비전동
한국관광고등학교,41220,경기도 평택시 고덕면 당현리 41번지,경기도 평택시,85,82,89,256,평택시,None,고덕면
한국도예고등학교,41500,경기도 이천시 신둔면 수남리 176-4번지 한국도예고등학교,경기도 이천시,76,74,68,218,이천시,None,신둔면
한국디지털미디어고등학교,41270,경기도 안산시 단원구 와동 산27-1번지,경기도 안산시 단원구,208,199,214,621,안산시,단원구,와동
한국애니메이션고등학교,41450,경기도 하남시 창우동 523-4번지,경기도 하남시,100,95,100,295,하남시,None,창우동
한국조리과학고등학교,41390,경기도 시흥시 과림동 11-1번지,경기도 시흥시,244,246,238,728,시흥시,None,과림동
한솔고등학교,41130,경기도 성남시 분당구 정자동 115번지,경기도 성남시 분당구,286,256,288,830,성남시,분당구,정자동
경기자동차과학고등학교,41390,경기도 시흥시 무지내동 341-2번지 경기자동차과학고등학교,경기도 시흥시,240,229,216,685,시흥시,None,무지내동
함현고등학교,41390,경기도 시흥시 정왕동 1878-9번지 함현고등학교,경기도 시흥시,307,254,287,848,시흥시,None,정왕동
행신고등학교,41280,경기도 고양시 덕양구 행신동 790번지 행신고등학교,경기도 고양시 덕양구,313,279,314,906,고양시,덕양구,행신동
호원고등학교,41150,경기도 의정부시 호원동 226-154번지,경기도 의정부시,281,290,311,882,의정부시,None,호원동
화성고등학교,41590,경기도 화성시 향남읍 장짐리 161번지 화성고등학교,경기도 화성시,276,279,333,888,화성시,None,향남읍
화수고등학교,41280,경기도 고양시 덕양구 화정동 854번지,경기도 고양시 덕양구,313,288,330,931,고양시,덕양구,화정동
화정고등학교,41280,경기도 고양시 덕양구 화정동 938번지 화정고등학교,경기도 고양시 덕양구,311,268,310,889,고양시,덕양구,화정동
화홍고등학교,41110,경기도 수원시 권선구 권선동 1302번지 화홍고등학교,경기도 수원시 권선구,342,321,394,1057,수원시,권선구,권선동
효명고등학교,41220,경기도 평택시 장당동 470번지 효명중고등학교,경기도 평택시,274,274,293,841,평택시,None,장당동
효성고등학교,41130,경기도 성남시 수정구 심곡동 321번지 효성고등학교,경기도 성남시 수정구,220,206,253,679,성남시,수정구,심곡동
효원고등학교,41110,경기도 수원시 영통구 매탄동 1154번지 효원고등학교,경기도 수원시 영통구,356,331,411,1098,수원시,영통구,매탄동
흥진고등학교,41410,경기도 군포시 금정동 875-7번지 흥진고등학교,경기도 군포시,335,351,384,1070,군포시,None,금정동
돌마고등학교,41130,경기도 성남시 분당구 이매동 265번지 돌마고등학교,경기도 성남시 분당구,244,234,270,748,성남시,분당구,이매동
부용고등학교,41150,경기도 의정부시 민락동 757-1번지 부용고등학교,경기도 의정부시,253,264,283,800,의정부시,None,민락동
경기예술고등학교,41190,경기도 부천시 중동 1031번지 경기예술고등학교,경기도 부천시,248,241,234,723,부천시,None,중동
송호고등학교,41270,경기도 안산시 상록구 이동 665번지 송호고등학교,경기도 안산시 상록구,349,363,495,1207,안산시,상록구,이동
운천고등학교,41370,경기도 오산시 부산동 778-5번지 운천고등학교,경기도 오산시,295,280,331,906,오산시,None,부산동
서원고등학교,41460,경기도 용인시 수지구 상현동 836번지,경기도 용인시 수지구,377,328,372,1077,용인시,수지구,상현동
천천고등학교,41110,경기도 수원시 장안구 천천동 513번지 천천고등학교,경기도 수원시 장안구,266,239,290,795,수원시,장안구,천천동
조원고등학교,41110,경기도 수원시 장안구 조원동 44번지 조원고등학교,경기도 수원시 장안구,254,227,277,758,수원시,장안구,조원동
늘푸른고등학교,41130,경기도 성남시 분당구 정자동 6-3번지,경기도 성남시 분당구,270,252,283,805,성남시,분당구,정자동
대신고등학교,41670,경기도 여주시 대신면 후포리 258-1번지 대신고등학교,경기도 여주시,85,86,92,263,여주시,None,대신면
