region,Stu_Pop,city,district,town
경기도 가평군 가평읍,670,가평군,None,가평읍
경기도 가평군 북면,135,가평군,None,북면
경기도 가평군 상면,189,가평군,None,상면
경기도 가평군 설악면,325,가평군,None,설악면
경기도 가평군 조종면,333,가평군,None,조종면
경기도 가평군 청평면,484,가평군,None,청평면
경기도 고양시 덕양구 고양동,1085,고양시,덕양구,고양동
경기도 고양시 덕양구 관산동,1287,고양시,덕양구,관산동
경기도 고양시 덕양구 능곡동,559,고양시,덕양구,능곡동
경기도 고양시 덕양구 대덕동,92,고양시,덕양구,대덕동
경기도 고양시 덕양구 삼송동,780,고양시,덕양구,삼송동
경기도 고양시 덕양구 성사1동,771,고양시,덕양구,성사1동
경기도 고양시 덕양구 성사2동,410,고양시,덕양구,성사2동
경기도 고양시 덕양구 원신동,840,고양시,덕양구,원신동
경기도 고양시 덕양구 주교동,543,고양시,덕양구,주교동
경기도 고양시 덕양구 창릉동,715,고양시,덕양구,창릉동
경기도 고양시 덕양구 행신1동,791,고양시,덕양구,행신1동
경기도 고양시 덕양구 행신2동,1158,고양시,덕양구,행신2동
경기도 고양시 덕양구 행신3동,1640,고양시,덕양구,행신3동
경기도 고양시 덕양구 행주동,689,고양시,덕양구,행주동
경기도 고양시 덕양구 화전동,787,고양시,덕양구,화전동
경기도 고양시 덕양구 화정1동,1355,고양시,덕양구,화정1동
경기도 고양시 덕양구 화정2동,1189,고양시,덕양구,화정2동
경기도 고양시 덕양구 효자동,387,고양시,덕양구,효자동
경기도 고양시 덕양구 흥도동,1574,고양시,덕양구,흥도동
경기도 고양시 일산동구 고봉동,939,고양시,일산동구,고봉동
경기도 고양시 일산동구 마두1동,1019,고양시,일산동구,마두1동
경기도 고양시 일산동구 마두2동,690,고양시,일산동구,마두2동
경기도 고양시 일산동구 백석1동,1289,고양시,일산동구,백석1동
경기도 고양시 일산동구 백석2동,866,고양시,일산동구,백석2동
경기도 고양시 일산동구 식사동,1421,고양시,일산동구,식사동
경기도 고양시 일산동구 장항1동,440,고양시,일산동구,장항1동
경기도 고양시 일산동구 장항2동,1091,고양시,일산동구,장항2동
경기도 고양시 일산동구 정발산동,993,고양시,일산동구,정발산동
경기도 고양시 일산동구 중산동,1977,고양시,일산동구,중산동
경기도 고양시 일산동구 풍산동,1631,고양시,일산동구,풍산동
경기도 고양시 일산서구 대화동,1586,고양시,일산서구,대화동
경기도 고양시 일산서구 송산동,2327,고양시,일산서구,송산동
경기도 고양시 일산서구 송포동,976,고양시,일산서구,송포동
경기도 고양시 일산서구 일산1동,1261,고양시,일산서구,일산1동
경기도 고양시 일산서구 일산2동,851,고양시,일산서구,일산2동
경기도 고양시 일산서구 일산3동,1630,고양시,일산서구,일산3동
경기도 고양시 일산서구 주엽1동,1276,고양시,일산서구,주엽1동
경기도 고양시 일산서구 주엽2동,1325,고양시,일산서구,주엽2동
경기도 고양시 일산서구 탄현동,2363,고양시,일산서구,탄현동
경기도 과천시 갈현동,466,과천시,None,갈현동
경기도 과천시 과천동,421,과천시,None,과천동
경기도 과천시 문원동,344,과천시,None,문원동
경기도 과천시 별양동,448,과천시,None,별양동
경기도 과천시 부림동,502,과천시,None,부림동
경기도 과천시 중앙동,419,과천시,None,중앙동
경기도 광명시 광명1동,218,광명시,None,광명1동
경기도 광명시 광명2동,291,광명시,None,광명2동
경기도 광명시 광명3동,355,광명시,None,광명3동
경기도 광명시 광명4동,517,광명시,None,광명4동
경기도 광명시 광명5동,534,광명시,None,광명5동
경기도 광명시 광명6동,399,광명시,None,광명6동
경기도 광명시 광명7동,621,광명시,None,광명7동
경기도 광명시 소하1동,1174,광명시,None,소하1동
경기도 광명시 소하2동,1851,광명시,None,소하2동
경기도 광명시 철산1동,468,광명시,None,철산1동
경기도 광명시 철산2동,477,광명시,None,철산2동
경기도 광명시 철산3동,1201,광명시,None,철산3동
경기도 광명시 철산4동,496,광명시,None,철산4동
경기도 광명시 하안1동,968,광명시,None,하안1동
경기도 광명시 하안2동,520,광명시,None,하안2동
경기도 광명시 하안3동,764,광명시,None,하안3동
경기도 광명시 하안4동,468,광명시,None,하안4동
경기도 광명시 학온동,82,광명시,None,학온동
경기도 광주시 경안동,1455,광주시,None,경안동
경기도 광주시 곤지암읍,766,광주시,None,곤지암읍
경기도 광주시 광남동,2247,광주시,None,광남동
경기도 광주시 남종면,50,광주시,None,남종면
경기도 광주시 남한산성면,89,광주시,None,남한산성면
경기도 광주시 도척면,306,광주시,None,도척면
경기도 광주시 송정동,2039,광주시,None,송정동
경기도 광주시 오포읍,3702,광주시,None,오포읍
경기도 광주시 초월읍,1476,광주시,None,초월읍
경기도 광주시 퇴촌면,487,광주시,None,퇴촌면
경기도 구리시 갈매동,1267,구리시,None,갈매동
경기도 구리시 교문1동,657,구리시,None,교문1동
경기도 구리시 교문2동,902,구리시,None,교문2동
경기도 구리시 동구동,1553,구리시,None,동구동
경기도 구리시 수택1동,755,구리시,None,수택1동
경기도 구리시 수택2동,1028,구리시,None,수택2동
경기도 구리시 수택3동,886,구리시,None,수택3동
경기도 구리시 인창동,922,구리시,None,인창동
경기도 군포시 광정동,934,군포시,None,광정동
